no,name,altname,RA,Dec,Orb_known(hr),Orb_possible(hr),Spin_known(s),Spin_possible(s),conf
,V373 Sct,Nova Scuti 1975,18 55 26.82,-07 43 06.1,,?,,258.3?,*
115.0,V1674 Her,Nova Herculis 2021,18 57 30.98,+16 53 39.6,3.6725,,501.51,,****
116.0,V4743 Sgr,Nova Sagittarii 2002 No. 3,19 01 09.34,-22 00 06.1,6.7176,,1337.0,,****
117.0,V1425 Aql,Nova Aquilae 1995,19 05 26.65,-01 42 03.4,6.1392,,5188.0,,***
,V1082 Sgr,Swift J1907.3-2050,19 07 21.86,-20 46 50.6,20.8211,,,,*
118.0,,"2PBC J1911.4+1412,Swift J1911.5+1422",19 11 24.87,+14 11 44.9,,,746.885,,***
,V407 Vul,RX J1914.3+2456,19 14 26.09,+24 56 43.3,0.1583,,570.0,,*
119.0,,IGR 19173+0747,19 17 20.79,+07 47 52.7,,,,,**
120.0,,IGR J19267+1325,19 26 26.99,+13 22 04.9,3.449,,935.1,,*****
,V1432 Aql,RX J1940.1-1025,19 40 11.41,-10 25 25.8,3.36563,,12150.0,,*
121.0,V2491 Cyg,Nova Cygni 2008 No. 2,19 43 01.97,+32 19 13.5,,,,,**
,,"SRGA J194638.9+704552, 1RXS J194639.7+704552",19 46 38.08,+70 45 55.5,,,,,*
122.0,,AX J194939+2631,19 49 38.38,+26 31 49.0,,,,,**
,,"IGR J19552+0044, 1RXS J195512.0+004547",19 55 12.48,+00 45 36.4,1.393326,,4877.33,,*
123.0,V2306 Cyg,WGA J1958.2+3232,19 58 14.47,+32 32 41.9,4.37149,,1466.6796,,*****
124.0,,Swift J2006.4+3645,20 06 22.39,+36 41 43.6,17.2842,,172.7,,*****
125.0,WZ Sge,,20 07 36.58,+17 42 14.3,1.3605,,,27.87?,***
126.0,,IGR J20084+3221,20 08 44.16,+32 18 18.1,,,,,**
127.0,,"Swift J201424.9+152930, MGAB-V931",20 14 24.91,+15 29 30.0,3.4386,,491.26,,***
128.0,,RX J2015.6+3711,20 15 36.96,+37 11 22.9,12.7611,,7196.0,,****
129.0,,"NuSTAR J202421+3350.9, IPHAS J202421.67+335050.1",20 24 21.68,+33 50 50.0,,,,,**
,V2467 Cyg,Nova Cygni 2007,20 28 12.47,+41 48 36.3,,3.82 ?,,2198.4 ???,*
130.0,AE Aqr,,20 40 09.24,-00 52 14.8,9.879735,,33.07674,,*****
131.0,,"SRGA J204547.8+672642, 2RXS J204548.4+672629",20 45 48.02,+67 26 42.9,,2.979 ?,,,**
132.0,,CTCV J2056-3014,20 56 52.19,-30 14 39.8,1.76,,29.6,,****
133.0,,"Swift J2059.6+4301 B, 2SXPS J210000.9+430210",21 00 01.00,+43 02 11.0,,,,,**
,V2275 Cyg,Nova Cygni 2001 No. 2,21 03 01.95,+48 45 53.0,7.54776,,,1475 ?,*
,,Lanning 386,21 08 33.97,+39 05 35.3,3.937241,,,,*
